x;f(x)
-2.00000000;-0.90928403
-1.90000000;-0.94629403
-1.80000000;-0.97384501
-1.70000000;-0.99166517
-1.60000000;-0.99957376
-1.50000000;-0.99749506
-1.40000000;-0.98544976
-1.30000000;-0.96355818
-1.20000000;-0.93203908
-1.10000000;-0.89120736
-1.00000000;-0.84147098
-0.90000000;-0.78332691
-0.80000000;-0.71735609
-0.70000000;-0.64421769
-0.60000000;-0.56464247
-0.50000000;-0.47942554
-0.40000000;-0.38941834
-0.30000000;-0.29552021
-0.20000000;-0.19866933
-0.10000000;-0.09983342
0.00000000;0.00000000
0.10000000;0.09983342
0.20000000;0.19866933
0.30000000;0.29552021
0.40000000;0.38941834
0.50000000;0.47942554
0.60000000;0.56464247
0.70000000;0.64421769
0.80000000;0.71735609
0.90000000;0.78332691
1.00000000;0.84147098
1.10000000;0.89120736
1.20000000;0.93203908
1.30000000;0.96355818
1.40000000;0.98544976
1.50000000;0.99749506
1.60000000;0.99957376
1.70000000;0.99166517
1.80000000;0.97384501
1.90000000;0.94629403
